	bal	pos	total			
Nm0.1.d10.s10.genepop.ci	119	306	425	0.0595	0.153	0.2125
Nm0.1.d10.s2.genepop.ci	0	1330	1330	0	0.665	0.665
Nm0.1.d10.s20.genepop.ci	212	335	547	0.106	0.1675	0.2735
Nm0.1.d10.s5.genepop.ci	60	207	267	0.03	0.1035	0.1335
Nm0.1.d100.s10.genepop.ci	35	139	174	0.0175	0.0695	0.087
Nm0.1.d100.s2.genepop.ci	0	1441	1441	0	0.7205	0.7205
Nm0.1.d100.s20.genepop.ci	55	120	175	0.0275	0.06	0.0875
Nm0.1.d100.s5.genepop.ci	35	230	265	0.0175	0.115	0.1325
Nm0.1.d2.s10.genepop.ci	605	522	1127	0.3025	0.261	0.5635
Nm0.1.d2.s2.genepop.ci	0	653	653	0	0.3265	0.3265
Nm0.1.d2.s20.genepop.ci	835	529	1364	0.4175	0.2645	0.682
Nm0.1.d2.s5.genepop.ci	257	470	727	0.1285	0.235	0.3635
Nm0.1.d25.s10.genepop.ci	61	197	258	0.0305	0.0985	0.129
Nm0.1.d25.s2.genepop.ci	0	1447	1447	0	0.7235	0.7235
Nm0.1.d25.s20.genepop.ci	101	216	317	0.0505	0.108	0.1585
Nm0.1.d25.s5.genepop.ci	35	220	255	0.0175	0.11	0.1275
Nm0.1.d5.s10.genepop.ci	251	454	705	0.1255	0.227	0.3525
Nm0.1.d5.s2.genepop.ci	0	1273	1273	0	0.6365	0.6365
Nm0.1.d5.s20.genepop.ci	388	513	901	0.194	0.2565	0.4505
Nm0.1.d5.s5.genepop.ci	130	320	450	0.065	0.16	0.225
Nm0.1.d50.s10.genepop.ci	41	155	196	0.0205	0.0775	0.098
Nm0.1.d50.s2.genepop.ci	0	1444	1444	0	0.722	0.722
Nm0.1.d50.s20.genepop.ci	77	164	241	0.0385	0.082	0.1205
Nm0.1.d50.s5.genepop.ci	30	206	236	0.015	0.103	0.118
Nm0.1.d75.s10.genepop.ci	40	157	197	0.02	0.0785	0.0985
Nm0.1.d75.s2.genepop.ci	0	1460	1460	0	0.73	0.73
Nm0.1.d75.s20.genepop.ci	55	135	190	0.0275	0.0675	0.095
Nm0.1.d75.s5.genepop.ci	25	202	227	0.0125	0.101	0.1135
Nm1.d10.s10.genepop.ci	135	228	363	0.0675	0.114	0.1815
Nm1.d10.s2.genepop.ci	0	630	630	0	0.315	0.315
Nm1.d10.s20.genepop.ci	243	298	541	0.1215	0.149	0.2705
Nm1.d10.s5.genepop.ci	55	228	283	0.0275	0.114	0.1415
Nm1.d100.s10.genepop.ci	60	152	212	0.03	0.076	0.106
Nm1.d100.s2.genepop.ci	0	668	668	0	0.334	0.334
Nm1.d100.s20.genepop.ci	56	115	171	0.028	0.0575	0.0855
Nm1.d100.s5.genepop.ci	45	183	228	0.0225	0.0915	0.114
Nm1.d2.s10.genepop.ci	456	365	821	0.228	0.1825	0.4105
Nm1.d2.s2.genepop.ci	0	464	464	0	0.232	0.232
Nm1.d2.s20.genepop.ci	766	372	1138	0.383	0.186	0.569
Nm1.d2.s5.genepop.ci	0	381	381	0	0.1905	0.1905
Nm1.d25.s10.genepop.ci	83	165	248	0.0415	0.0825	0.124
Nm1.d25.s2.genepop.ci	0	659	659	0	0.3295	0.3295
Nm1.d25.s20.genepop.ci	114	206	320	0.057	0.103	0.16
Nm1.d25.s5.genepop.ci	36	204	240	0.018	0.102	0.12
Nm1.d5.s10.genepop.ci	208	328	536	0.104	0.164	0.268
Nm1.d5.s2.genepop.ci	0	607	607	0	0.3035	0.3035
Nm1.d5.s20.genepop.ci	431	367	798	0.2155	0.1835	0.399
Nm1.d5.s5.genepop.ci	78	298	376	0.039	0.149	0.188
Nm1.d50.s10.genepop.ci	60	150	210	0.03	0.075	0.105
