ParamSet	Number of demes	Num Sampled Pops	Est. Fst	Sample Size	Model	Loci
1	100	100	0.2	50	0	4000
2	75	75	0.2	50	0	4000
3	50	50	0.2	50	0	4000
4	25	25	0.2	50	0	4000
5	10	10	0.2	50	0	4000
6	100	75	0.2	50	0	4000
7	75	56	0.2	50	0	4000
8	50	38	0.2	50	0	4000
9	25	19	0.2	50	0	4000
10	10	8	0.2	50	0	4000
11	100	50	0.2	50	0	4000
12	75	38	0.2	50	0	4000
13	50	25	0.2	50	0	4000
14	25	13	0.2	50	0	4000
15	10	5	0.2	50	0	4000
16	100	25	0.2	50	0	4000
17	75	19	0.2	50	0	4000
18	50	13	0.2	50	0	4000
19	25	6	0.2	50	0	4000
20	10	3	0.2	50	0	4000
21	100	10	0.2	50	0	4000
22	75	8	0.2	50	0	4000
23	50	5	0.2	50	0	4000
24	25	3	0.2	50	0	4000
25	10	1	0.2	50	0	4000
26	100	100	0.2	50	1	4000
27	75	75	0.2	50	1	4000
28	50	50	0.2	50	1	4000
29	25	25	0.2	50	1	4000
30	10	10	0.2	50	1	4000
31	100	75	0.2	50	1	4000
32	75	56	0.2	50	1	4000
33	50	38	0.2	50	1	4000
34	25	19	0.2	50	1	4000
35	10	8	0.2	50	1	4000
36	100	50	0.2	50	1	4000
37	75	38	0.2	50	1	4000
38	50	25	0.2	50	1	4000
39	25	13	0.2	50	1	4000
40	10	5	0.2	50	1	4000
41	100	25	0.2	50	1	4000
42	75	19	0.2	50	1	4000
43	50	13	0.2	50	1	4000
44	25	6	0.2	50	1	4000
45	10	3	0.2	50	1	4000
46	100	10	0.2	50	1	4000
47	75	8	0.2	50	1	4000
48	50	5	0.2	50	1	4000
49	25	3	0.2	50	1	4000
50	10	1	0.2	50	1	4000
51	100	100	0.4	50	0	4000
52	75	75	0.4	50	0	4000
53	50	50	0.4	50	0	4000
54	25	25	0.4	50	0	4000
55	10	10	0.4	50	0	4000
56	100	75	0.4	50	0	4000
57	75	56	0.4	50	0	4000
58	50	38	0.4	50	0	4000
59	25	19	0.4	50	0	4000
60	10	8	0.4	50	0	4000
61	100	50	0.4	50	0	4000
62	75	38	0.4	50	0	4000
63	50	25	0.4	50	0	4000
64	25	13	0.4	50	0	4000
65	10	5	0.4	50	0	4000
66	100	25	0.4	50	0	4000
