pbar	Ht	Hs	WrightsFst	WCFst	WCFstSimple	avgp
0.1	0.161665	0.124125	0.232207	0.117139	0.208553	0.0887
0.1	0.184623	0.129733	0.297309	0.149931	0.304945	0.1029
0.1	0.185734	0.148747	0.19914	0.100475	0.205484	0.1036
0.1	0.144507	0.114159	0.21001	0.105953	0.168599	0.0784
0.1	0.1615	0.134394	0.167839	0.0846956	0.150589	0.0886
0.1	0.150803	0.119483	0.20769	0.104784	0.174001	0.08215
0.1	0.131918	0.102208	0.225216	0.113616	0.165056	0.071
0.1	0.15097	0.117001	0.225008	0.113511	0.188719	0.08225
0.1	0.168458	0.124708	0.259705	0.130992	0.243051	0.09285
0.1	0.190001	0.141806	0.253655	0.127945	0.267748	0.1063
0.1	0.149129	0.106769	0.284054	0.143256	0.235338	0.08115
0.1	0.133803	0.106409	0.204735	0.103295	0.15219	0.0721
0.1	0.162569	0.121507	0.252584	0.127405	0.228124	0.08925
0.1	0.12606	0.093167	0.260934	0.131611	0.182742	0.0676
0.1	0.122072	0.103512	0.15204	0.076729	0.10311	0.0653
0.1	0.147032	0.114541	0.220979	0.111481	0.180505	0.0799
0.1	0.139769	0.116462	0.166755	0.084149	0.129485	0.0756
0.1	0.141973	0.110174	0.223978	0.112992	0.17666	0.0769
0.1	0.121898	0.094746	0.222743	0.11237	0.150844	0.0652
0.1	0.149129	0.11949	0.198753	0.100279	0.164666	0.08115
0.1	0.146275	0.113207	0.226066	0.114045	0.183711	0.07945
0.1	0.134231	0.100969	0.2478	0.124995	0.184791	0.07235
0.1	0.153638	0.122206	0.20459	0.103222	0.174627	0.08385
0.1	0.14871	0.119416	0.196989	0.0993908	0.162747	0.0809
0.1	0.178879	0.133173	0.255514	0.128881	0.253922	0.0993
0.1	0.157787	0.122267	0.225112	0.113564	0.197333	0.08635
0.1	0.12977	0.10577	0.184946	0.0933197	0.133335	0.06975
0.1	0.175343	0.141134	0.195098	0.0984376	0.190051	0.0971
0.1	0.140194	0.114391	0.184046	0.0928662	0.143345	0.07585
0.1	0.157291	0.117577	0.25249	0.127358	0.220635	0.08605
0.1	0.134915	0.111594	0.17286	0.0872268	0.129563	0.07275
0.1	0.155965	0.121538	0.220738	0.11136	0.191263	0.08525
0.1	0.114207	0.092239	0.192351	0.0970524	0.122043	0.0608
0.1	0.132518	0.104986	0.207766	0.104823	0.15296	0.07135
0.1	0.189843	0.140509	0.259868	0.131074	0.274078	0.1062
0.1	0.123288	0.094813	0.230963	0.116512	0.158194	0.066
0.1	0.182236	0.146014	0.198765	0.100285	0.201234	0.1014
0.1	0.132261	0.103218	0.219589	0.110781	0.161351	0.0712
0.1	0.142227	0.114487	0.195042	0.0984089	0.154112	0.07705
0.1	0.167561	0.137773	0.177776	0.0897054	0.165491	0.0923
0.1	0.154054	0.10914	0.291549	0.14703	0.249524	0.0841
0.1	0.134316	0.116186	0.134983	0.0681269	0.100725	0.0724
0.1	0.154636	0.121782	0.212465	0.107191	0.182527	0.08445
0.1	0.166746	0.126413	0.241881	0.122013	0.22407	0.0918
0.1	0.145939	0.114912	0.212605	0.107261	0.172374	0.07925
0.1	0.119372	0.0949435	0.204641	0.103247	0.135713	0.06375
0.1	0.120244	0.0916655	0.23767	0.119891	0.158769	0.06425
0.1	0.127443	0.099843	0.216567	0.109258	0.153333	0.0684
0.1	0.152972	0.116256	0.240022	0.121076	0.203982	0.08345
0.1	0.117887	0.089563	0.240265	0.121199	0.157357	0.0629
0.1	0.141888	0.114282	0.194559	0.0981658	0.153365	0.07685
0.1	0.130114	0.10378	0.202388	0.102112	0.146297	0.06995
0.1	0.156297	0.12193	0.219884	0.110929	0.190928	0.08545
0.1	0.160924	0.112676	0.299821	0.151196	0.268047	0.08825
0.1	0.126752	0.102886	0.188289	0.0950051	0.132589	0.068
0.15	0.217549	0.171226	0.21293	0.107425	0.181658	0.1242
0.15	0.196268	0.155891	0.205723	0.103793	0.15834	0.1103
0.15	0.2192	0.165807	0.243581	0.122869	0.209384	0.1253
0.15	0.245816	0.202051	0.178038	0.0898374	0.171625	0.1435
0.15	0.222785	0.175995	0.210025	0.105961	0.183492	0.1277
0.15	0.238274	0.181168	0.239667	0.120898	0.223947	0.13825
0.15	0.222115	0.172508	0.223341	0.112671	0.194539	0.12725
0.15	0.198291	0.163265	0.176639	0.089132	0.137356	0.1116
0.15	0.265593	0.210067	0.209062	0.105476	0.217747	0.15765
0.15	0.248659	0.193407	0.222201	0.112097	0.216676	0.1455
0.15	0.250923	0.190174	0.242103	0.122125	0.238232	0.1471
0.15	0.256468	0.205309	0.199476	0.100644	0.200625	0.15105
0.15	0.280348	0.217113	0.225559	0.113789	0.247981	0.1686
0.15	0.218825	0.177505	0.188824	0.095275	0.162037	0.12505
0.15	0.21196	0.169582	0.199932	0.100874	0.166186	0.1205
