pbar	Ht	Hs	WrightsFst	WCFst	WCFstSimple	avgp
0.1	0.161829	0.137196	0.152217	0.0775412	0.136851	0.0888
0.1	0.201545	0.144797	0.281564	0.143243	0.315265	0.1137
0.1	0.212263	0.149161	0.297282	0.151216	0.350567	0.1207
0.1	0.109979	0.098086	0.108138	0.0551116	0.0660716	0.0584
0.1	0.18795	0.142782	0.240319	0.122312	0.250933	0.105
0.1	0.124849	0.106681	0.145518	0.0741339	0.100932	0.0669
0.1	0.120157	0.102752	0.14485	0.0737941	0.0966929	0.0642
0.1	0.137899	0.113213	0.179018	0.0911692	0.137147	0.0745
0.1	0.121028	0.098517	0.185997	0.0947167	0.12506	0.0647
0.1	0.15638	0.121143	0.225327	0.114699	0.195758	0.0855
0.1	0.171788	0.137111	0.201859	0.102778	0.19265	0.0949
0.1	0.126579	0.105181	0.16905	0.0861014	0.118879	0.0679
0.1	0.172921	0.151512	0.123809	0.0630884	0.11894	0.0956
0.1	0.17984	0.126235	0.29807	0.151616	0.297805	0.0999
0.1	0.131918	0.10924	0.17191	0.0875555	0.125989	0.071
0.1	0.170166	0.138123	0.188302	0.0958884	0.178014	0.0939
0.1	0.13875	0.100262	0.277391	0.141127	0.213822	0.075
0.1	0.132604	0.107998	0.185561	0.0944948	0.1367	0.0714
0.1	0.130888	0.112004	0.144274	0.0735009	0.104909	0.0704
0.1	0.159522	0.126128	0.20934	0.106579	0.185525	0.0874
0.1	0.122593	0.095098	0.22428	0.114168	0.152752	0.0656
0.1	0.112976	0.093441	0.172913	0.0880654	0.108528	0.0601
0.1	0.128133	0.108876	0.15029	0.0765611	0.106984	0.0688
0.1	0.205395	0.156736	0.236905	0.120578	0.270328	0.1162
0.1	0.174214	0.13117	0.247076	0.125742	0.239134	0.0964
0.1	0.142311	0.119625	0.159413	0.0812008	0.126034	0.0771
0.1	0.130888	0.1112	0.150417	0.0766256	0.109376	0.0704
0.1	0.141296	0.111377	0.211744	0.1078	0.166214	0.0765
0.1	0.10484	0.088859	0.152428	0.0776487	0.0887806	0.0555
0.1	0.129684	0.098003	0.244293	0.124329	0.176005	0.0697
0.1	0.170166	0.130027	0.23588	0.120058	0.222992	0.0939
0.1	0.0760637	0.06244	0.179109	0.0912154	0.0756871	0.0396
0.1	0.151554	0.113798	0.249128	0.126784	0.209758	0.0826
0.1	0.15787	0.120016	0.23978	0.122038	0.2103	0.0864
0.1	0.113855	0.094508	0.169929	0.0865482	0.107485	0.0606
0.1	0.155052	0.116973	0.245588	0.124987	0.211549	0.0847
0.1	0.189686	0.147281	0.223552	0.113798	0.235581	0.1061
0.1	0.145686	0.117503	0.193452	0.0985058	0.156574	0.0791
0.1	0.132433	0.108939	0.177401	0.0903469	0.13052	0.0713
0.1	0.146696	0.120721	0.177066	0.0901768	0.144305	0.0797
0.1	0.119634	0.101877	0.148425	0.0756124	0.0986477	0.0639
0.1	0.164947	0.128019	0.223878	0.113963	0.205156	0.0907
0.1	0.127788	0.105594	0.173679	0.0884549	0.1233	0.0686
0.1	0.162158	0.118046	0.272031	0.138407	0.245067	0.089
0.1	0.181119	0.145029	0.199261	0.101458	0.2005	0.1007
0.1	0.087223	0.074273	0.14847	0.0756355	0.0719446	0.0457
0.1	0.0969776	0.078711	0.188359	0.0959171	0.101481	0.0511
0.1	0.191259	0.125285	0.344946	0.175376	0.366523	0.1071
0.1	0.178719	0.114832	0.357471	0.18172	0.354926	0.0992
0.1	0.15472	0.123555	0.201426	0.102557	0.173136	0.0845
0.1	0.198446	0.155321	0.217314	0.110629	0.239585	0.1117
0.1	0.13926	0.118911	0.146121	0.0744407	0.113049	0.0753
0.1	0.0946399	0.081628	0.137489	0.070049	0.0722884	0.0498
0.1	0.145181	0.115008	0.207831	0.105812	0.167628	0.0788
0.1	0.163636	0.122355	0.252273	0.12838	0.229339	0.0899
0.1	0.223678	0.189913	0.150954	0.0768991	0.187585	0.1283
0.1	0.136537	0.102663	0.248092	0.126258	0.188187	0.0737
0.1	0.141126	0.118204	0.162423	0.0827316	0.127345	0.0764
0.1	0.175826	0.141582	0.194763	0.0991717	0.190247	0.0974
0.1	0.118062	0.090884	0.230201	0.117174	0.150989	0.063
0.1	0.173891	0.124744	0.282632	0.143785	0.27304	0.0962
0.1	0.128306	0.104173	0.188087	0.0957788	0.13407	0.0689
0.1	0.116837	0.103357	0.115378	0.0587969	0.0748912	0.0623
0.1	0.161994	0.140101	0.135145	0.0688564	0.121625	0.0889
0.1	0.09518	0.082857	0.12947	0.0659691	0.068461	0.0501
0.1	0.132604	0.107428	0.189859	0.0966795	0.139867	0.0714
0.1	0.175021	0.144235	0.175898	0.089583	0.171032	0.0969
0.1	0.106083	0.091952	0.133208	0.067871	0.0785062	0.0562
0.1	0.118412	0.08884	0.249735	0.127092	0.164286	0.0632
0.1	0.110862	0.092109	0.169153	0.0861539	0.104181	0.0589
0.1	0.176792	0.135706	0.232397	0.11829	0.228256	0.098
0.1	0.0973366	0.081835	0.159258	0.0811222	0.0861201	0.0513
0.1	0.124329	0.104034	0.163235	0.0831449	0.112749	0.0666
0.1	0.115436	0.093145	0.193099	0.0983262	0.123836	0.0615
0.1	0.135854	0.112319	0.173239	0.0882312	0.130751	0.0733
0.1	0.167235	0.133839	0.199696	0.101678	0.185534	0.0921
0.1	0.136707	0.106094	0.223932	0.113991	0.170073	0.0738
0.1	0.158201	0.12114	0.234265	0.119238	0.205894	0.0866
0.1	0.146528	0.114296	0.21997	0.111978	0.179065	0.0796
0.1	0.101276	0.085493	0.155837	0.0793826	0.0876806	0.0535
0.1	0.160842	0.121036	0.247483	0.125949	0.221142	0.0882
0.1	0.128995	0.097151	0.246862	0.125634	0.176911	0.0693
0.1	0.127961	0.102215	0.2012	0.102443	0.143031	0.0687
0.1	0.132947	0.078992	0.405838	0.206206	0.299749	0.0716
0.1	0.194394	0.148795	0.234572	0.119394	0.25333	0.1091
0.1	0.1615	0.1236	0.234675	0.119446	0.210556	0.0886
0.1	0.122419	0.108449	0.11412	0.0581567	0.0776139	0.0655
0.1	0.221742	0.149228	0.32702	0.166292	0.402856	0.127
0.1	0.196268	0.153385	0.218491	0.111227	0.238238	0.1103
0.1	0.118062	0.089076	0.245515	0.12495	0.161033	0.063
0.1	0.220098	0.149667	0.32	0.162734	0.391285	0.1259
0.1	0.113855	0.100262	0.119391	0.0608396	0.0755182	0.0606
0.1	0.131575	0.10162	0.227663	0.115885	0.166415	0.0708
0.1	0.135342	0.102276	0.244314	0.12434	0.1837	0.073
0.1	0.13329	0.111852	0.160834	0.0819238	0.119097	0.0718
0.1	0.158201	0.121798	0.230105	0.117126	0.202238	0.0866
0.1	0.145855	0.11559	0.207499	0.105643	0.168137	0.0792
0.1	0.160677	0.126733	0.211255	0.107551	0.188577	0.0881
0.1	0.188897	0.136296	0.278465	0.141671	0.292229	0.1056
0.1	0.112624	0.094393	0.161875	0.082453	0.101283	0.0599
0.1	0.136366	0.107882	0.20888	0.106345	0.158245	0.0736
0.1	0.188897	0.147352	0.219936	0.111961	0.230807	0.1056
