pbar	Ht	Hs	WrightsFst	WCFst	WCFstSimple	avgp
0.1	0.18	0.106076	0.410689	0.130286	0.207672	0.0777778
0.1	0.18	0.119132	0.338154	0.1185	0.20558	0.0853535
0.1	0.18	0.134463	0.252984	0.0661451	0.113889	0.0846465
0.1	0.18	0.0997123	0.446043	0.0959572	0.131561	0.0660606
0.1	0.18	0.163866	0.089634	0.124016	0.300278	0.124444
0.1	0.18	0.105138	0.415901	0.10467	0.154649	0.0716162
0.1	0.18	0.134325	0.25375	0.129533	0.260925	0.100808
0.1	0.18	0.123085	0.316192	0.0922257	0.154656	0.0822222
0.1	0.18	0.0865702	0.519054	0.0937682	0.111014	0.0564646
0.1	0.18	0.0959672	0.466849	0.0919244	0.120099	0.0627273
0.1	0.18	0.118742	0.340322	0.133457	0.240185	0.0888889
0.1	0.18	0.124301	0.309441	0.121719	0.222201	0.090303
0.1	0.18	0.148552	0.17471	0.147288	0.34463	0.119596
0.1	0.18	0.100292	0.44282	0.0670199	0.0862445	0.0617172
0.1	0.18	0.0915672	0.491293	0.0753159	0.0902169	0.0571717
0.1	0.18	0.1032	0.426666	0.0983197	0.140336	0.0689899
0.1	0.18	0.120245	0.331973	0.106037	0.179803	0.0832323
0.1	0.18	0.102963	0.427984	0.0942878	0.132937	0.0680808
0.1	0.18	0.136804	0.239976	0.106497	0.205693	0.0961616
0.1	0.18	0.110308	0.38718	0.0752578	0.108582	0.069798
0.1	0.18	0.105127	0.415961	0.124645	0.193943	0.0757576
0.1	0.18	0.0927365	0.484797	0.126347	0.17421	0.0664646
0.1	0.18	0.116892	0.350602	0.0800677	0.12382	0.0752525
0.1	0.18	0.110774	0.384587	0.121984	0.198592	0.079596
0.1	0.18	0.0925605	0.485775	0.0954467	0.121322	0.0609091
0.1	0.18	0.125854	0.300811	0.133516	0.254725	0.0948485
0.1	0.18	0.142856	0.206357	0.109475	0.222481	0.101818
0.1	0.18	0.122937	0.317017	0.0913459	0.152666	0.0819192
0.1	0.18	0.109308	0.392732	0.124373	0.201071	0.0789899
0.1	0.18	0.0867616	0.517991	0.109253	0.13477	0.0589899
0.1	0.18	0.115217	0.359904	0.12703	0.218011	0.0843434
0.1	0.18	0.117871	0.34516	0.0982325	0.160109	0.079697
0.1	0.18	0.097891	0.456161	0.143485	0.218877	0.0741414
0.1	0.18	0.125148	0.304731	0.0917723	0.156301	0.0836364
0.1	0.18	0.106789	0.406727	0.146214	0.245191	0.0822222
0.1	0.18	0.149496	0.169464	0.0735884	0.14333	0.0970707
0.1	0.18	0.115409	0.358841	0.107987	0.176619	0.08
0.1	0.18	0.116403	0.353314	0.0962108	0.154086	0.0781818
0.1	0.18	0.0988124	0.451042	0.0961584	0.130712	0.0654545
0.1	0.18	0.126901	0.294995	0.10214	0.180991	0.0873737
0.1	0.18	0.10062	0.441001	0.129362	0.195105	0.0732323
0.1	0.18	0.134916	0.250468	0.103724	0.196187	0.0939394
0.1	0.18	0.156688	0.129511	0.104013	0.22865	0.111313
0.1	0.18	0.126039	0.299782	0.0888668	0.151353	0.0836364
0.1	0.18	0.103235	0.42647	0.117295	0.175781	0.0727273
0.1	0.18	0.103093	0.427261	0.167001	0.287233	0.0845455
0.1	0.18	0.102083	0.432873	0.119129	0.177386	0.0722222
0.1	0.18	0.0827701	0.540166	0.122376	0.149018	0.0581818
0.1	0.18	0.0958984	0.467231	0.150742	0.229948	0.0741414
0.1	0.18	0.146244	0.187532	0.120109	0.256876	0.107879
0.1	0.18	0.101263	0.43743	0.121212	0.180022	0.0720202
0.1	0.18	0.0811463	0.549187	0.132774	0.162995	0.0586869
0.1	0.18	0.110416	0.386576	0.0906749	0.135887	0.0727273
0.1	0.18	0.129934	0.278143	0.126609	0.244767	0.0962626
0.1	0.18	0.0917753	0.490137	0.158027	0.23561	0.0723232
0.1	0.18	0.135474	0.247364	0.0938412	0.173893	0.0918182
0.1	0.18	0.119359	0.336896	0.0996398	0.16503	0.0811111
0.1	0.18	0.108541	0.396992	0.0918713	0.135739	0.0716162
0.1	0.18	0.136953	0.239151	0.0942169	0.176658	0.0930303
0.1	0.18	0.104897	0.417236	0.122691	0.1895	0.0751515
0.1	0.18	0.0886624	0.507431	0.0760987	0.0884259	0.0553535
0.1	0.18	0.0944567	0.475241	0.121551	0.168544	0.0668687
0.1	0.18	0.105396	0.414465	0.0903268	0.129102	0.0690909
0.1	0.18	0.115047	0.360848	0.101856	0.163512	0.0783838
0.1	0.18	0.107507	0.40274	0.0882458	0.128003	0.070202
0.1	0.18	0.12013	0.332611	0.115305	0.200036	0.0853535
0.1	0.18	0.102189	0.432286	0.121176	0.181597	0.0727273
0.1	0.18	0.10322	0.426555	0.0744776	0.100368	0.0648485
0.1	0.18	0.12376	0.312443	0.112795	0.20029	0.0875758
0.1	0.18	0.113722	0.368211	0.0826891	0.125187	0.0735354
0.1	0.18	0.113332	0.370379	0.13153	0.224752	0.0839394
0.1	0.18	0.0937971	0.478905	0.0795911	0.0986527	0.0592929
0.1	0.18	0.121993	0.322263	0.133898	0.247876	0.0917172
0.1	0.18	0.0905219	0.497101	0.112751	0.146423	0.0623232
0.1	0.18	0.0973676	0.459069	0.114212	0.160142	0.0676768
0.1	0.18	0.120309	0.331616	0.0865693	0.139955	0.0789899
0.1	0.18	0.122109	0.321617	0.11515	0.202978	0.0868687
0.1	0.18	0.111807	0.378847	0.137279	0.235088	0.0841414
0.1	0.18	0.143708	0.201621	0.111579	0.229346	0.103131
0.1	0.18	0.13234	0.264777	0.0885244	0.158175	0.0881818
0.1	0.18	0.0906275	0.496514	0.148684	0.213085	0.0692929
0.1	0.18	0.132417	0.264352	0.133819	0.268839	0.100505
0.1	0.18	0.107655	0.401915	0.09255	0.135852	0.0711111
0.1	0.18	0.0937052	0.479415	0.11088	0.148342	0.0643434
0.1	0.18	0.13549	0.247279	0.12057	0.239189	0.0990909
0.1	0.18	0.100237	0.443127	0.159912	0.261847	0.080101
0.1	0.18	0.108223	0.39876	0.0620926	0.0852521	0.0661616
0.1	0.18	0.0833012	0.537216	0.123022	0.151024	0.0586869
0.1	0.18	0.115373	0.359037	0.107654	0.175871	0.079899
0.1	0.18	0.106898	0.406124	0.0839278	0.119793	0.0689899
0.1	0.18	0.145748	0.190287	0.111112	0.231349	0.104646
0.1	0.18	0.0897092	0.501615	0.109724	0.140118	0.0612121
0.1	0.18	0.0788996	0.561669	0.0732875	0.075283	0.0485859
0.1	0.18	0.127949	0.289171	0.129882	0.249446	0.0955556
0.1	0.18	0.0938644	0.478531	0.113606	0.153321	0.0649495
0.1	0.18	0.125842	0.300879	0.0926377	0.158986	0.0843434
0.1	0.18	0.0960759	0.466245	0.127563	0.182816	0.0692929
0.1	0.18	0.113055	0.371918	0.0675723	0.0981458	0.070303
