PopSize	Subpops	MigrationRate
10000	5	0.0005
10000	10	0.001
10000	50	0.005
10000	75	0.0075
10000	100	0.01
10000	5	0.005
10000	10	0.01
10000	50	0.05
10000	75	0.075
10000	100	0.1
10000	5	1
10000	10	1
10000	50	1
10000	75	1
10000	100	1
5000	5	0.001
5000	10	0.002
5000	50	0.01
5000	75	0.015
5000	100	0.02
5000	5	0.01
5000	10	0.02
5000	50	0.1
5000	75	0.15
5000	100	0.2
5000	5	1
5000	10	1
5000	50	1
5000	75	1
5000	100	1
2500	5	0.002
2500	10	0.004
2500	50	0.02
2500	75	0.03
2500	100	0.04
2500	5	0.02
2500	10	0.04
2500	50	0.2
2500	75	0.3
2500	100	0.4
2500	5	1
2500	10	1
2500	50	1
2500	75	1
2500	100	1
50000	5	0.0001
50000	10	0.0002
50000	50	0.001
50000	75	0.0015
50000	100	0.002
50000	5	0.001
50000	10	0.002
50000	50	0.01
50000	75	0.015
50000	100	0.02
50000	5	1
50000	10	1
50000	50	1
50000	75	1
50000	100	1
1000	5	0.005
1000	10	0.01
1000	50	0.05
1000	75	0.075
1000	100	0.1
1000	5	0.05
1000	10	0.1
1000	50	0.5
1000	75	0.75
1000	100	1
1000	5	1
1000	10	1
1000	50	1
1000	75	1
1000	100	1
